CustomerID,FirstName,LastName,Email,RegistrationDate,Country,City,TotalSpent,Currency,Age,PhoneNumber,LastLoginDate
CUST042,evelyn,Nassali,evelyn.n@email,11/08/2023,Uganda,Kampala,115000,UGX,24,0754123456,24/08/2025
CUST043,logan,Mwangi,logan.m@email.com,14/09/2023,Kenya,Nairobi,5000,KES,,0727123456,
CUST044,abigail,Tesha,abigail.t@email.com,30/10/2024,Tanzania,Dar es Salaam,250000,TZS,32,+255717123456,23/08/2025
CUST045,alexander,Kimani,alex.k@email.com,Nov 15, 2024,KE,Nairobi,8000,Ksh,26,0735123456,
CUST046,sheila,Akinyi,sheila.a@mail.com,01/12/2024,Kenya,Kisumu,4200,KES,29,0702123456,22/08/2025
CUST047,sebastian,Mwebe,seb.m@email.com,Jan 20, 2025,Uganda,Kampala,195000,UGX,41,0784123456,
CUST048,victoria,Waithera,vicky.w,25/02/2025,Kenya,Nairobi,6800,KES,38,0728123456,21/08/2025
CUST049,joseph,Kipkirui,joseph.k@email.com,Mar 10, 2025,KE,Eldoret,3400,Ksh,25,0719123456,
CUST050,  cust050,grace,Nakato,grace.n@email.com,18/04/2025,Uganda,Masaka,65000,Shs,30,0755123456,25/08/2025
CUST051,samuel,Were,sam.w@email.com,15/01/2022,Kenya,Nairobi,9800,KES,35,0729123456,20/08/2025
CUST052,faith,Nabiryo,faith.n@email.com,20/02/2022,Uganda,Jinja,48000,UGX,28,0778123456,
CUST053,moses,Githinji,moses.g@email,Mar 05, 2022,KE,Nairobi,5200,Ksh,45,0736123456,15/07/2025
CUST054,pauline,Anyango,pauline.a@work.net,10/04/2022,Kenya,Kisumu,4600,KES,31,0703123456,
CUST055,DENNIS,Mwanje,dennis.m@email.com,12/05/2022,UG,Kla,88000,Shs,35,0785123456,19/08/2025
CUST056,joy,Mboya,joy.mboya@email.com,18/01/2023,Tanzania,Dar es Salaam,130000,TZS,22,+255757123456,
CUST057,geoffrey,Ouma,geoffrey.o@mail,22/02/2023,Kenya,Mombasa,7200,KES,50,0704123456,22/08/2025
CUST058,cynthia,Ingabire,cynthia.i@email.com,Apr 10, 2023,Rwanda,Kigali,280,USD,29,250786123456,
CUST059,eric,Sentamu,eric@email.com,15/05/2023,uganda,Kmapala,99000,UGX,250,0756123456,18/08/2025
CUST060,irene,Wanjala,irene.w@email.com,20/06/2023,Kenya,Nairobi,6300,KES,41,0716123456,
CUST061,felix,Ouma,felix.o@email.com,Jul 01, 2023,Kenya,Nairobi,8100,KES,38,0721123456,25/08/2025
CUST062,rachel,Mbabazi,rachel.m@email,11/08/2023,Rwanda,Kigali,180,$,25,250737123456,
CUST063,abdul,Karim,abdul.k@email.com,14/09/2023,Tanzania,Dar es Salaam,155000,,40,+255719123456,24/08/2025
CUST064,VICTOR,Munyao,victor.m@email.com,30/10/2024,KE,Nairobi,13500,Ksh,33,0737123456,
CUST065,patricia,Nekesa,patricia.n@email.com,Nov 15, 2024,Kenya,Eldoret,3600,KES,27,0705123456,23/08/2025
CUST066,ian,Katende,ian.k@mail.com,01/12/2024,Uganda,Kampala,210000,UGX,26,0779123456,
CUST067,barbara,Shauri,barbara.s@email.com,Jan 20, 2025,Tanzania,Arusha,95000,TZS,42,+255758123456,22/08/2025
CUST068,edwin,Lwanga,edwin.lwanga,25/02/2025,Uganda,Jinja,58000,Shs,39,0789123456,
CUST069,doris,Maina,doris.m@email.com,Mar 10, 2025,Kenya,Nrb,4900,KES,26,0722123456,21/08/2025
CUST070,patience,Kansiime,patience.k@email.com,18/04/2025,UG,Mbarara,72000,UGX,31,0757123456,
CUST071,anthony,Kagwe,anthony.k@email.com,May 05, 2025,Kenya,Nairobi,11000,KES,55,0717123456,25/08/2025
CUST072,beatrice,Auma,beatrice.a,30/06/2025,Uganda,Gulu,82000,UGX,23,0775123456,
CUST073,joel,Hakizimana,joel.h@email.com,Jul 12, 2025,Rwanda,Kigali,220,USD,,250782123456,20/08/2025
CUST074,gerald,Kimathi,gerald.k@email.com,01/08/2025,Kenya,Nairobi,18000,KES,48,0738123456,19/08/2025
CUST075,lydia,Babirye,lydia.b@email.com,Aug 15, 2025,UG,Kampala,105000,Shs,36,0786123456,
CUST076,calvin,Khamisi,calvin.k@email.com,16/01/2022,Tanzania,Dar es Salaam,98000,TZS,30,+255716123456,23/08/2025
CUST077,tracy,Gitau,tracy.g@email.com,21/02/2022,Kenya,Nairobi,9100,Ksh,29,0723123456,
CUST078,ronald,Mwesigwa,ronald.m@email,Mar 06, 2022,Uganda,Kla,62000,UGX,46,0758123456,24/08/2025
CUST079,damaris,Wangui,damaris.w@work.net,11/04/2022,KE,Nairobi,5300,KES,33,0714123456,
CUST080,SIMON,Ouma,simon.o@email.com,13/05/2022,Kenya,Nairobi,14000,KES,36,0739123456,21/08/2025
CUST081,naomi,Akello,naomi.a@email.com,15/01/2022,Uganda,Gulu,89000,UGX,34,0771123456,20/08/2025
CUST082,vincent,Koech,vincent.k@email.com,20/02/2022,Kenya,Eldoret,4100,KES,27,0706123456,
CUST083,martha,Isingoma,martha.i@email,Mar 05, 2022,Uganda,Mbarara,73000,Shs,44,0787123456,15/07/2025
CUST084,isaac,Shija,isaac.s@work.net,10/04/2022,Tanzania,Dar es Salaam,125000,TZS,31,+255759123456,
CUST085,sharon,Adhiambo,sharon.a@email.com,12/05/2022,Kenya,Kisumu,5600,KES,37,0707123456,19/08/2025
CUST051,samuel,Were,sam.w@email.com,15/01/2022,Kenya,Nairobi,9800,KES,35,0729123456,20/08/2025
CUST086,phillip,Mboya,phillip.m@email.com,18/01/2023,Tanzania,Arusha,105000,TZS,21,+255711123456,18/08/2025
CUST087,judith,Gashumba,judith-g@mail,22/02/2023,Rwanda,Kigali,260,$,51,250781123456,
CUST088,nicholas,Wamalwa,nicholas.w@email.com,Apr 10, 2023,Kenya,Nairobi,7800,KES,28,0721123456,22/08/2025
CUST089,hilda,Nakibuule,hilda.n@email.com,15/05/2023,uganda,Kmapala,94000,UGX,43,0759123456,
CUST090,lucy,Onyango,lucy.o@email.com,20/06/2023,Kenya,Nairobi,6600,Ksh,40,0712123456,25/08/2025
CUST091,martin,Kiiza,martin.k@email.com,Jul 01, 2023,Uganda,Kampala,135000,UGX,37,0772123456,
CUST092,nancy,Mumbi,nancy.m@email,11/08/2023,Kenya,Nairobi,5900,KES,24,0731123456,24/08/2025
CUST093,stanley,Kato,stanley.k@email.com,14/09/2023,Uganda,Kla,81000,,29,0782123456,
CUST094,rose,Akinyi,rose.a@email.com,30/10/2024,Kenya,Kisumu,4400,KES,32,0708123456,23/08/2025
CUST095,frank,Mwezi,frank.m@email.com,Nov 15, 2024,Tanzania,Dar es Salaam,145000,TZS,26,+255751123456,
CUST096,hellen,Chepkwemoi,hellen.c@mail.com,01/12/2024,Kenya,Eldoret,3900,Ksh,29,0711123456,22/08/2025
CUST097,solomon,Bimenyimana,solo.b@email.com,Jan 20, 2025,Rwanda,Kigali,240,USD,41,250783123456,
CUST098,vivian,Wachira,vivian.w,25/02/2025,Kenya,Nairobi,7100,KES,38,0726123456,21/08/2025
CUST099,yusuf,Ssekamatte,yusuf.s@email.com,Mar 10, 2025,UG,Kampala,112000,Shs,25,0751123456,
CUST100,  cust100,Brenda,Oloo,brenda.oloo@email.com,18/04/2025,Kenya,Nairobi,6900,KES,30,0725123456,25/08/2025
